"RandN","ID","TimeP","Site","Genotype","Treat","Treatment","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"M8_61","K12_H_N_19","M8","KL","AC12","H","Heat","M8.KL.AC12.H",29.3594832634814,0.551029793501946,0.425747956386811
"M8_62","S10_H_N_17","M8","SS","AC10","H","Heat","M8.SS.AC10.H",16.2838247646129,0.503016958141206,0.500122183683645
"M8_63","S8_H_N_19","M8","SS","AC8","H","Heat","M8.SS.AC8.H",43.5139914734777,0.60718026023355,0.640193074840753
"M8_64","K8_H_N_20","M8","KL","AC8","H","Heat","M8.KL.AC8.H",18.5709861522037,0.355473852917425,0.297582473795782
"M8_66","S10_C_N_19","M8","SS","AC10","C","Control","M8.SS.AC10.C",27.244937829671,1.07034195424891,0.637417494162427
"M8_67","S8_C_N_17","M8","SS","AC8","C","Control","M8.SS.AC8.C",23.8357727425072,1.58282372777389,0.58219585116502
"M8_68","K12_C_N_19","M8","KL","AC12","C","Control","M8.KL.AC12.C",19.1319880019902,0.922416774714206,0.356643543749359
"M8_69","S12_H_N_18","M8","SS","AC12","H","Heat","M8.SS.AC12.H",51.8427112433841,1.13854095560121,0.913030951984412
"M8_7","K8_C_N_19","M8","KL","AC8","C","Control","M8.KL.AC8.C",19.5635278864413,0.624104204051154,0.345299684147552
"M8_70","K8_H_N_19","M8","KL","AC8","H","Heat","M8.KL.AC8.H",27.7627856910123,0.436069353224855,0.407643531378905
"M8_71","S8_H_N_17","M8","SS","AC8","H","Heat","M8.SS.AC8.H",27.5901697372319,1.16452950353941,0.912605621487785
"M8_72","K8_H_N_18","M8","KL","AC8","H","Heat","M8.KL.AC8.H",16.9311345912895,0.505459333150821,0.32625338663611
"M8_74","K12_H_N_17","M8","KL","AC12","H","Heat","M8.KL.AC12.H",12.6588897352236,0.574810283697561,0.394303142250401
"M8_75","K10_C_N_18","M8","KL","AC10","C","Control","M8.KL.AC10.C",30.1362550554934,1.15233296028498,0.619351009793025
"M8_76","K12_H_N_18","M8","KL","AC12","H","Heat","M8.KL.AC12.H",20.2108377131179,0.791727697146079,0.433777170666693
"M8_78","S12_H_N_20","M8","SS","AC12","H","Heat","M8.SS.AC12.H",40.6658282361004,0.910239258338118,1.04020849530978
"M8_79","S12_H_N_17","M8","SS","AC12","H","Heat","M8.SS.AC12.H",34.2358839577789,1.22064245178743,0.766798252744841
"M8_80","S12_C_N_17","M8","SS","AC12","C","Control","M8.SS.AC12.C",40.3205963285395,2.11124522993259,0.921664940101496
"M8_81","K8_C_N_20","M8","KL","AC8","C","Control","M8.KL.AC8.C",14.8597431459242,0.768375775714428,0.337082542464664
"M8_86","S8_H_N_20","M8","SS","AC8","H","Heat","M8.SS.AC8.H",28.3669415292439,0.845262785037337,0.644355683574718
"M8_9","S8_C_N_18","M8","SS","AC8","C","Control","M8.SS.AC8.C",43.3413755196973,1.55344400570308,0.949135543270993
"M8_90","S8_H_N_18","M8","SS","AC8","H","Heat","M8.SS.AC8.H",53.2667928620727,1.24953239639709,0.662532472930767
"M8_91","K10_H_N_19","M8","KL","AC10","H","Heat","M8.KL.AC10.H",25.691394245647,0.624066818381537,0.432347886369849
"M8_92","K8_H_N_17","M8","KL","AC8","H","Heat","M8.KL.AC8.H",14.3418952845829,0.367514885265271,0.249266636596
"M8_94","K12_C_N_18","M8","KL","AC12","C","Control","M8.KL.AC12.C",27.4607077718965,0.81297297647152,0.389243863952374
"W1_1","S8_C_N_3","W1","SS","AC8","C","Control","W1.SS.AC8.C",32.2076465008587,1.17398208524773,NA
"W1_10","K12_H_N_4","W1","KL","AC12","H","Heat","W1.KL.AC12.H",37.3429711258269,0.234090282672255,NA
"W1_15","K10_H_N_4","W1","KL","AC10","H","Heat","W1.KL.AC10.H",20.0813757477826,0.0978387150699547,NA
"W1_18","S10_H_N_2","W1","SS","AC10","H","Heat","W1.SS.AC10.H",34.3653459231143,0.0803789377293042,NA
"W1_2","S12_C_N_3","W1","SS","AC12","C","Control","W1.SS.AC12.C",51.7564032664939,1.07198974101146,NA
"W1_20","K8_C_N_4","W1","KL","AC8","C","Control","W1.KL.AC8.C",36.8251232644856,0.740549682277195,NA
"W1_22","S8_H_N_3","W1","SS","AC8","H","Heat","W1.SS.AC8.H",60.8618948284123,0.137354497811288,NA
"W1_25","K12_H_N_3","W1","KL","AC12","H","Heat","W1.KL.AC12.H",39.1985926289667,0.169311912024165,NA
"W1_28","K12_C_N_4","W1","KL","AC12","C","Control","W1.KL.AC12.C",29.4026372519265,0.528222004948973,NA
"W1_29","S10_C_N_4","W1","SS","AC10","C","Control","W1.SS.AC10.C",47.6999283526535,0.614255150449021,NA
"W1_32","S12_H_N_1","W1","SS","AC12","H","Heat","W1.SS.AC12.H",44.4202252308251,0.129098309839738,NA
"W1_33","S12_H_N_2","W1","SS","AC12","H","Heat","W1.SS.AC12.H",23.6631567887268,0.14658100625804,NA
"W1_35","K8_H_N_4","W1","KL","AC8","H","Heat","W1.KL.AC8.H",83.3451228083149,0.00934485394893794,NA
"W1_38","S8_C_N_2","W1","SS","AC8","C","Control","W1.SS.AC8.C",89.9476830404169,0.866445145655551,NA
"W1_40","S8_H_N_2","W1","SS","AC8","H","Heat","W1.SS.AC8.H",62.9764402622227,0.102995024377249,NA
