"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Set","Score_Full","Score_TP","Score_Set","Score_Seas","AnSet","Season"
"K10_H_N_22","M12_62","M12","KL","AC10","H","Heat","M12.KL.AC10.H",18.0069056359384,19.3934561933628,19.3934561933628,19.8993612068832,"Annual","Summer"
"K10_H_N_23","M12_56","M12","KL","AC10","H","Heat","M12.KL.AC10.H",8.25913478147485,15.8449253124561,15.8449253124561,12.2937338243983,"Annual","Summer"
"K10_H_N_24","M12_79","M12","KL","AC10","H","Heat","M12.KL.AC10.H",13.6673867922139,17.5995930784345,17.5995930784345,16.40664485891,"Annual","Summer"
"K10_H_N_3","W1_60","W1","KL","AC10","H","Heat","W1.KL.AC10.H",12.6026247232916,19.8918279949913,16.529695927316,15.5542362794639,"Initial","Summer"
"K10_H_N_4","W1_15","W1","KL","AC10","H","Heat","W1.KL.AC10.H",10.1222583373304,18.717904309018,14.7838163263226,13.6540667162379,"Initial","Summer"
"K10_H_N_5","W2_44","W2","KL","AC10","H","Heat","W2.KL.AC10.H",12.2035978225868,17.8401549286913,16.2708724157452,15.2838188183052,"Initial","Summer"
"K10_H_N_6","W2_50","W2","KL","AC10","H","Heat","W2.KL.AC10.H",9.76912397986182,16.7962496761659,14.5834344405181,13.4239319502853,"Initial","Summer"
"K10_H_N_7","W2_21","W2","KL","AC10","H","Heat","W2.KL.AC10.H",13.2473946630596,18.2808587362792,16.9807179378465,16.0656912182682,"Initial","Summer"
"K10_H_N_8","W2_68","W2","KL","AC10","H","Heat","W2.KL.AC10.H",15.024582386422,19.0768512597229,18.2280584338538,17.5056735505762,"Initial","Summer"
"K10_H_N_9","M1_53","M1","KL","AC10","H","Heat","M1.KL.AC10.H",23.9326563744295,20.7686085983724,23.7546650390495,24.2770562714381,"Initial","Summer"
"K12_C_N_1","W1_63","W1","KL","AC12","C","Control","W1.KL.AC12.C",19.5593467996943,22.0771385921464,21.2466768165156,21.0886381524341,"Initial","Summer"
"K12_C_N_10","M1_14","M1","KL","AC12","C","Control","M1.KL.AC12.C",25.0300834492821,21.4270600823602,24.2919660193556,25.0695535875504,"Initial","Summer"
"K12_C_N_11","M1_18","M1","KL","AC12","C","Control","M1.KL.AC12.C",25.2370998084856,21.6047277127166,24.3913016093689,25.2718154864782,"Initial","Summer"
