"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP","RandN","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"S12_C_N_5","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.716464972904,21.5712274374751,"W2_58",36.9545852298209,1.14828150289788,0.951753071540845
"S12_C_N_6","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.8973960262581,21.3708510585884,"W2_35",42.3919877739049,1.62267424291462,1.52238824808604
"S12_C_N_7","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.3743747428468,21.4399388956985,"W2_80",38.8102067329607,1.35749255419252,0.531551407132281
"S12_C_N_8","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.8142686384182,21.7590050939244,"W2_1",43.7297614157033,1.65775247001389,1.28138636447895
"S12_C_N_9","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",20.7279475841657,21.9685443327074,"M1_72",36.997739218266,1.98390356323255,1.12606534562067
"S12_H_N_11","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",15.7643746034049,17.8339914549089,"M1_42",32.0781845355234,0.11915314791066,0.129269784435834
"S12_H_N_12","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",17.8815225318901,18.441441551758,"M1_10",30.3088710092738,0.106853644675263,0.132516318366694
"S12_H_N_13","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",21.2550914170979,20.3102237756115,"M4_41",40.3637503169847,0.651287350495232,0.346133347131548
"S12_H_N_14","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",20.4000976693727,19.698729590903,"M4_25",33.9338060386632,0.565945063106649,0.15094204269819
"S12_H_N_15","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",20.4070518056806,18.2722473207381,"M4_70",44.6791491614958,0.515882697691649,0.456690881159047
"S12_H_N_16","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",19.9741486305192,18.1390853613517,"M4_58",58.1000395679252,0.391006618393793,0.282185694225431
